Meal Names,Calories,Total Fat,Saturated Fat,Cholesterol,Protein,Carbs,Sodium,Fiber,Sugars
"Burger King - French Fries – value (unsalted), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips large - Side, McDonald’s - English Muffin, Subway - Kids Mini Sub Veggie Delite",1870.0,77.0,19.0,105.0,53.0,242.0,2100.0,20.0,11.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Wendy’s - 6 Picece Chicken Nuggets, Wendy’s - Natural-Cut Fries, Junior",1730.0,78.5,11.5,130.0,58.0,197.0,1715.0,24.0,10.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Taco Bell - Chips and Nacho Cheese Sauce (V)",1640.0,71.5,19.5,240.0,83.0,171.0,2260.0,19.0,18.0
"Arbys - Chopped Side Salad, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, KFC - Macaroni Salad, McDonald’s - Sausage Burrito",1540.0,79.0,19.5,310.0,62.0,148.0,1950.0,12.0,16.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, KFC - KFC® Cornbread Muffin, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1535.0,45.5,11.0,205.0,76.0,207.0,2215.0,29.0,39.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, KFC - Potato Salad, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Burrito Supreme® – Chicken",1610.0,74.0,21.0,265.0,70.0,164.0,2280.0,17.0,41.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, KFC - KFC® Cornbread Muffin, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1525.0,70.0,23.0,305.0,69.0,147.0,1745.0,13.0,34.0
"Burger King - French Fries – large, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, McDonald’s - English Muffin",1600.0,72.0,20.5,200.0,72.0,163.0,2080.0,15.0,6.0
"Burger King - Double Hamburger, Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, KFC - Corn on the Cob",1710.0,77.0,13.5,150.0,60.0,200.0,1710.0,17.0,25.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, KFC - Biscuit, McDonald’s - Fruit & Maple Oatmeal",1560.0,64.0,19.0,315.0,84.0,158.0,2230.0,12.0,37.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, KFC - Corn on the Cob (Family), McDonald’s - Hotcakes",1625.0,52.5,14.5,265.0,87.0,215.0,1635.0,28.0,30.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Queso Blanco (Entree) - Top, KFC - Corn on the Cob (Family), Wendy’s - Seasoned Home-Style Potatoes, Small",1515.0,57.5,21.0,220.0,81.0,184.0,2295.0,21.0,18.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, KFC - Corn on the Cob, McDonald’s - Fruit & Maple Oatmeal",1515.0,58.0,19.5,105.0,65.0,192.0,2100.0,31.0,46.0
"Burger King - Pancake and Sausage platter, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, McDonald’s - Side Salad",1605.0,72.5,21.5,325.0,82.0,160.0,1900.0,17.0,36.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, McDonald’s - English Muffin, McDonald’s - Snack Size Fruit & Walnut Salad",1545.0,76.0,31.0,235.0,75.0,131.0,1900.0,10.0,30.0
"Burger King - French Fries – small, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Red Chili Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1690.0,69.0,21.5,325.0,80.0,179.0,2185.0,16.0,23.0
"Burger King - French Toast Sticks (3 piece), Burger King - Hash Browns – small, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Cheese - Top",1550.0,68.0,13.0,190.0,75.0,156.0,2110.0,28.0,10.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal, Sonic - Sonic Burger W/ Mayonnaise, Wendy’s - Plain Baked Potato",1870.0,80.0,27.5,260.0,78.0,205.0,2065.0,15.0,44.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal, Wendy’s - Caesar Side Salad",1625.0,73.0,24.0,345.0,85.0,156.0,2170.0,14.0,40.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chips regular - Side, Pizza Hut - Pan Pizza Slices Hawaiian Chicken Personal Pan, Taco Bell - Hash Brown",1570.0,75.5,13.0,80.0,48.0,178.0,2030.0,17.0,16.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, KFC - Corn on the Cob",1600.0,73.0,21.5,250.0,84.0,152.0,2230.0,12.0,17.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - English Muffin, McDonald’s - Medium French Fries",1600.0,67.5,20.5,185.0,73.0,170.0,2050.0,23.0,5.0
"Burger King - CROISSAN’WICH® Egg & Cheese, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Chicken - Pro, McDonald’s - Side Salad, Sonic - Sonic Burger W/ Ketchup",1540.0,72.5,26.0,385.0,89.0,134.0,2150.0,16.0,19.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, KFC - Corn on the Cob (Family), Subway - 6"" BBQ Rib Sandwich",1610.0,55.5,12.5,115.0,69.0,220.0,1925.0,28.0,35.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Wendy’s - Sour Cream and Chive Baked Potato",1930.0,79.5,30.0,225.0,85.0,216.0,2300.0,30.0,26.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Guacomole (Side) - Top, KFC - Mashed Potatoes, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1590.0,73.5,26.5,240.0,76.0,160.0,2285.0,19.0,25.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side, KFC - House Side Salad, McDonald’s - Fruit & Maple Oatmeal",1820.0,79.0,16.0,200.0,78.0,201.0,2060.0,23.0,36.0
"Burger King - CROISSAN’WICH® Egg & Cheese, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, KFC - Corn on the Cob",1595.0,82.0,41.0,400.0,77.0,127.0,2200.0,8.0,12.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chips regular - Side, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, McDonald’s - Snack Size Fruit & Walnut Salad, Pizza Hut - Hand Tossed Slices Chicken Bacon Parmesan Medium",1710.0,70.0,15.0,80.0,41.0,228.0,1915.0,20.0,52.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, KFC - Mashed Potatoes, McDonald’s - Sausage McMuffin®",1560.0,76.5,26.5,330.0,87.0,130.0,2090.0,18.0,7.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Chips regular - Side, Subway - 6"" BBQ Rib Sandwich, Taco Bell - Black Beans (V)",1740.0,66.5,11.0,130.0,64.0,219.0,2265.0,26.0,18.0
"Burger King - French Toast Sticks (3 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, McDonald’s - Small French Fries",1615.0,64.0,20.5,185.0,76.0,177.0,2030.0,25.0,13.0
"Burger King - French Fries – small, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side, KFC - EXTRA CRISPY  Chicken Drumstick, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1665.0,71.0,8.5,60.0,38.0,224.0,2205.0,22.0,27.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, KFC - Corn on the Cob (Family), McDonald’s - Fruit & Maple Oatmeal",1850.0,71.5,25.0,180.0,81.0,231.0,2265.0,33.0,49.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Chips regular - Side, KFC - Sweet Kernel Corn (Family), Pizza Hut - Pan Pizza Slices Hawaiian Chicken Personal Pan, Wendy’s - Seasoned Home-Style Potatoes, Medium",1760.0,64.5,12.0,80.0,63.0,247.0,2140.0,30.0,14.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top, Pizza Hut - Pan Pizza Slices Cheese Large, Wendy’s - Plain Baked Potato",1505.0,46.5,13.0,115.0,61.0,211.0,2005.0,21.0,20.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top, KFC - EXTRA CRISPY  Chicken Drumstick, Wendy’s - Natural-Cut Fries, Junior",1570.0,78.5,18.0,175.0,67.0,154.0,2205.0,20.0,16.0
"Burger King - French Toast Sticks (5 piece), Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top, KFC - Coleslaw",1505.0,79.0,25.0,140.0,52.0,147.0,2190.0,16.0,30.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Chips and Nacho Cheese Sauce",1625.0,62.5,16.0,245.0,76.0,185.0,2170.0,21.0,38.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Guacomole (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Sour Cream - Top, KFC - Macaroni Salad, McDonald’s - Fruit & Maple Oatmeal",1580.0,76.5,22.5,270.0,72.0,156.0,1820.0,21.0,48.0
"Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Side) - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar, Wendy’s - Sour Cream and Chive Baked Potato",1730.0,68.0,22.5,240.0,84.0,191.0,2150.0,19.0,26.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Barbacoa - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, KFC - Sweet Kernel Corn (Family), McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1605.0,64.0,16.5,245.0,82.0,183.0,2165.0,20.0,29.0
"Burger King - French Fries – value (unsalted), Chipotle - Chipotle - Tortilla burrito - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, KFC - Chicken Whole Wing, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1500.0,65.5,16.0,160.0,59.0,163.0,2215.0,21.0,23.0
"Burger King - Onion Rings – value, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal",1640.0,65.0,21.0,235.0,77.0,185.0,1900.0,28.0,42.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, KFC - Caesar Side Salad, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1535.0,67.5,29.0,225.0,76.0,148.0,2115.0,19.0,26.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top, KFC - Chicken Whole Wing, McDonald’s - Fruit & Maple Oatmeal, Taco Bell - Nacho Fries (V) (New)",1500.0,78.5,16.0,155.0,54.0,144.0,2280.0,16.0,39.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Sofritas - Pro, Chipotle - Sour Cream - Top, Taco Bell - Cheesy Toasted Breakfast Burrito – Bacon, Wendy’s - Sour Cream and Chive Baked Potato",1645.0,64.5,19.5,290.0,77.0,194.0,2275.0,25.0,18.0
"Burger King - French Fries – small, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Carnitas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Guacomole (Side) - Top, McDonald’s - Fruit & Maple Oatmeal without Brown Sugar",1745.0,78.5,22.5,140.0,73.0,192.0,2125.0,33.0,23.0
"Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal, McDonald’s - Premium Crispy Chicken Classic Sandwich, Wendy’s - Natural-Cut Fries, Small",1650.0,67.0,21.5,160.0,63.0,198.0,2300.0,13.0,44.0
"Burger King - CROISSAN’WICH® Egg & Cheese, Chipotle - Chipotle - Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Sour Cream - Top, Chipotle - Romaine Lettuce - Top, Sonic - Jr. Deluxe Cheeseburger, Wendy’s - Natural-Cut Fries, Junior",1565.0,80.0,28.0,385.0,75.0,135.0,2245.0,8.0,10.0
"Burger King - French Fries – medium, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Sofritas - Pro, Chipotle - Romaine Lettuce - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top, McDonald’s - English Muffin",1525.0,64.5,16.5,155.0,68.0,179.0,1970.0,25.0,11.0
"Burger King - Kids Oatmeal, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Barbacoa - Pro, Wendy’s - Plain Baked Potato",1610.0,60.5,16.5,240.0,86.0,178.0,1985.0,25.0,18.0
"Burger King - CROISSAN’WICH® Egg & Cheese, Chipotle - Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Chicken - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Sour Cream - Top, KFC - KFC® Cornbread Muffin",1545.0,65.5,22.5,440.0,85.0,151.0,2180.0,14.0,21.0
"Chipotle - Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Chicken - Pro, KFC - Corn on the Cob (Family), Wendy’s - Fresh-Baked Biscuit with Applewood Smoked Bacon, Wendy’s - Jr. Bacon Cheeseburger",1580.0,65.5,25.0,425.0,86.0,176.0,2185.0,21.0,22.0
"Burger King - French Fries – medium, Chipotle - Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carne Asada - Pro, Chipotle - Cheese - Top, Chipotle - Sour Cream - Top, McDonald’s - Fruit & Maple Oatmeal, Subway - Kids Mini Sub Black Forest Ham",1530.0,59.0,15.0,190.0,60.0,189.0,2280.0,15.0,40.0
"Burger King - French Fries – large, Burger King - Kids Oatmeal, Subway - 6"" BBQ Rib Sandwich, Taco Bell - Nachos BellGrande® – Steak",1750.0,75.0,17.0,85.0,47.0,226.0,2290.0,29.0,27.0
